feeder,name,consumers,isOut,,Lat,Lon,,,,,,,,,,,,,,
BAO911,DSS1075,1,false,,4.20645039,73.5364075,,,,,,,,,,,,,,
BAO904,DSS1076,1,false,,4.2214007,73.5449044,,,,,,,,,,,,,,
BAO907,DSS1077,7,false,,4.2136841,73.5424023,,,,,,,,,,,,,,
BAO902,DSS1078,90,false,,4.220144,73.5392359,,,,,,,,,,,,,,
BAO907,DSS1079,23,false,,4.2133167,73.5386153,,,,,,,,,,,,,,
BAO907,DSS1080,94,false,,4.221804,73.5424485,,,,,,,,,,,,,,
BAO902,DSS1081,122,false,,4.2189356,73.5402598,,,,,,,,,,,,,,
BAO907,DSS1082,1,false,,4.21543218,73.53959953,,,,,,,,,,,,,,
BAO911,DSS1083,253,false,,4.210666,73.5392668,,,,,,,,,,,,,,
BAO911,DSS1084,366,false,,4.2088218,73.5388217,,,,,,,,,,,,,,
BAO911,DSS1085,31,false,,4.207364,73.5362193,,,,,,,,,,,,,,
BAO911,DSS1086,1,false,,,,,,,,,,,,,,,,,
BAO911,DSS1087,42,false,,,,,,,,,,,,,,,,,
BAO907,DSS1088,118,false,,,,,,,,,,,,,,,,,
BAO911,DSS1089,70,false,,,,,,,,,,,,,,,,,
BAO907,DSS1090,168,false,,,,,,,,,,,,,,,,,
BAO907,DSS1091,115,false,,,,,,,,,,,,,,,,,
BAO907,DSS1092,1,false,,,,,,,,,,,,,,,,,
BAO911,DSS1093,1,false,,,,,,,,,,,,,,,,,
BAO911,DSS1094,1,false,,,,,,,,,,,,,,,,,
BAO901,DSS1095,1,false,,,,,,,,,,,,,,,,,
,,,,,,,,,HM_PH50MW,,false,,4.2086762,73.5359932,,,,,,
,,,,,,,,,PH_ANNEX,,false,,4.20416,73.5381278,,,,,,
,,,,,,,,,RMU1,,false,,4.22294008,73.53982565,,,,,,
